Data;Regional;UC;Familias1;Produtos;Producao;Unidade;V.Total;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;780;Kg;480;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;240;Kg;960;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;500;Kg;1000;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;150;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;3;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;2;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;400;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;40;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;15;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;500;Kg;1200;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;30;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;20;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;40;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;120;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Avicultura;20;Unidade;0;;;
2016-2017;Negro Amazonas;RDS do Rio Negro;1;Farinha;120;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;1000;Kg;4662;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;500;Kg;1190;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;2800;Kg;7600;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;600;Kg;1200;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;1050;Kg;4000;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;150;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;1300;Kg;5200;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;750;Kg;1500;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;50;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;1500;Kg;5800;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;1250;Kg;3000;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;100;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;750;Kg;2300;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;200;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;550;Kg;1500;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;500;Kg;600;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;5000;Kg;12000;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;200;Kg;600;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;2000;Kg;4000;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;2900;Kg;8000;;;
2016-2017;Negro Amazonas;RDS do Uatuma;1;Farinha;750;Kg;1560;;;
2016-2017;Negro Amazonas;RDS do Canuma;;Acai;800;Kg;1600;;;
2016-2017;Negro Amazonas;RDS do Canuma;;Cacau;100;Kg;0;;;
2016-2017;Negro Amazonas;RDS do Canuma;;Farinha;13035;Kg;52140;;;
12/03/2017;Negro Amazonas;RDS do Canuma;;Farinha;6000;Kg;27000;;;
28/09/2016;Madeira;RDS do Juma;1;Farinha;1250;Kg;1500;;;
;Madeira;RDS do Juma;1;Castanha;60;Kg;0;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;2000;Kg;7000;;;
;Madeira;RDS do Juma;1;Castanha;60;Kg;180;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;500;Kg;1280;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;900;Kg;2720;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;1800;Kg;4800;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;1250;Kg;3200;;;
29/09/2016;Madeira;RDS do Juma;1;Farinha;800;Kg;2400;;;
